Player;Pos;Age;Team
Arthur Cabral;FW;26;Benfica
Samuel Soares;GK;22;Benfica
João Mário;MF;31;Benfica
Manuel Manu;MF;23;Benfica
Renato Sanches;MF;26;Benfica
Benjamín Rollheiser;MF;24;Benfica
Morato;DF;23;Benfica
Tiago Gouveia;MF;23;Benfica
Marcos Leonardo;FW;21;Benfica
João Rêgo;MF;19;Benfica
Nuno Felix;MF;20;Benfica
Issa Kaboré;DF,MF;23;Benfica
Adrian Bajrami;DF;22;Benfica
Diogo Prioste;MF;20;Benfica
Gustavo Marques;DF;22;Benfica
Martim Neto;MF;21;Benfica
Maghnes Akliouche;MF;22;Monaco
Thilo Kehrer;DF;27;Monaco
Takumi Minamino;MF;29;Monaco
Lamine Camara;MF;20;Monaco
Denis Zakaria;MF;27;Monaco
Wilfried Singo;DF;23;Monaco
Vanderson;DF;23;Monaco
Caio Henrique Oliveira Silva;DF;27;Monaco
Breel Embolo;FW,MF;27;Monaco
Eliesse Ben Seghir;MF;19;Monaco
Philipp Köhn;GK;26;Monaco
Christian Mawissa;DF;19;Monaco
Mika Biereth;FW;21;Monaco
Radosław Majecki;GK;24;Monaco
Aleksandr Golovin;MF;28;Monaco
Soungoutou Magassa;MF;20;Monaco
Mohammed Salisu;DF;25;Monaco
Jordan Teze;DF,MF;24;Monaco
Folarin Balogun;FW;23;Monaco
George Ilenikhena;FW;17;Monaco
Kassoum Ouattara;MF,DF;19;Monaco
Krépin Diatta;DF,MF;25;Monaco
Al-Musrati;MF;28;Monaco
Ismail Jakobs;DF;24;Monaco
Saïmon Bouabré;MF;18;Monaco
Eliot Matazo;MF;22;Monaco
Lucas Michal;FW;19;Monaco
Mamadou Coulibaly;MF;20;Monaco
Aladji Bamba;MF;18;Monaco
Edan Diop;MF;19;Monaco
Bradel Kiwa;MF;18;Monaco
Yann Liénard;GK;21;Monaco
Guillermo Maripán;DF;30;Monaco
Samuel Nibombé;DF;16;Monaco
Jules Stawiecki;GK;17;Monaco
Marco Bizot;GK;33;Brest
Mahdi Camara;MF;26;Brest
Kenny Lala;DF;32;Brest
Ludovic Ajorque;FW;30;Brest
Brendan Chardonnet;DF;29;Brest
Hugo Magnetti;MF;26;Brest
Massadio Haïdara;DF;31;Brest
Abdoulaye Ndiaye;DF;22;Brest
Mathias Pereira Lage;MF,FW;27;Brest
Pierre Lees-Melou;MF;31;Brest
Julien Le Cardinal;DF;26;Brest
Romain Del Castillo;FW,MF;28;Brest
Abdallah Sima;FW,MF;23;Brest
Kamory Doumbia;MF,FW;21;Brest
Mama Samba Baldé;FW,MF;28;Brest
Edimilson Fernandes;MF,DF;28;Brest
Romain Faivre;MF,FW;26;Brest
Jordan Amavi;DF;30;Brest
Luck Zogbé;DF;19;Brest
Jonas Martin;MF;34;Brest
Soumaïla Coulibaly;DF;20;Brest
Ibrahim Salah;MF,FW;22;Brest
Grégoire Coudert;GK;25;Brest
Justin Bourgault;DF;18;Brest
Jérémy Le Douaron;FW;26;Brest
Bradley Locko;DF;22;Brest
Hamidou Makalou;MF;18;Brest
Axel Camblan;FW;20;Brest
Hianga'a Mbock;MF;24;Brest
Sérigné Diop;FW;19;Brest
Léo Botz;FW;19;Brest
Achraf Dari;DF;25;Brest
Paris Irie;DF;18;Brest
Noah Jauny;GK;19;Brest
Ibrahim Kanté;MF;17;Brest
Raphael Le Guen;DF;17;Brest
Igor Paixão;MF,FW;24;Feyenoord
Dávid Hancko;DF;26;Feyenoord
Timon Wellenreuther;GK;28;Feyenoord
Antoni Milambo;MF;19;Feyenoord
Givairo Read;DF;18;Feyenoord
Anis Hadj Moussa;MF,FW;22;Feyenoord
Hwang In-beom;MF;27;Feyenoord
Thomas Beelen;DF;23;Feyenoord
Quinten Timber;MF;23;Feyenoord
Gernot Trauner;DF;32;Feyenoord
Gijs Smal;DF,MF;26;Feyenoord
Hugo Bueno;DF;21;Feyenoord
Jakub Moder;MF;25;Feyenoord
Ayase Ueda;FW;25;Feyenoord
