Player,Age,Team,Posicion
Ibrahim Sulemana,21,Atalanta,MF
Rui Patrício,36,Atalanta,GK
Rafael Tolói,33,Atalanta,DF
Daniel Maldini,22,Atalanta,MF
Marco Palestra,19,Atalanta,MF
Juan Musso,30,Atalanta,GK
Nicolò Zaniolo,25,Atalanta,FW
Vanja Vlahović,20,Atalanta,MF
Ben Godfrey,26,Atalanta,DF
Mitchel Bakker,24,Atalanta,DF
Federico Cassa,18,Atalanta,MF
Alberto Manzoni,19,Atalanta,MF
Gianluca Scamacca,25,Atalanta,FW
Lorenzo Bernasconi,20,Atalanta,MF
Pietro Comi,19,Atalanta,DF
Tommaso Del Lungo,20,Atalanta,DF
Javison Idele,17,Atalanta,DF
Relja Obrić,18,Atalanta,DF
Lorenzo Riccio,18,Atalanta,MF
Francesco Rossi,33,Atalanta,GK
Federico Steffanoni,15,Atalanta,MF
Pietro Tornaghi,18,Atalanta,DF
Dominic Vavassori,18,Atalanta,FW
Paolo Vismara,21,Atalanta,GK
Gregor Kobel,26,Dortmund,GK
Serhou Guirassy,28,Dortmund,FW
Pascal Groß,33,Dortmund,MF
Julian Brandt,28,Dortmund,MF
Julian Ryerson,26,Dortmund,DF
Emre Can,30,Dortmund,DF
Ramy Bensebaini,29,Dortmund,DF
Nico Schlotterbeck,24,Dortmund,DF
Waldemar Anton,28,Dortmund,DF
Jamie Gittens,19,Dortmund,MF
Felix Nmecha,23,Dortmund,MF
Marcel Sabitzer,30,Dortmund,MF
Maximilian Beier,21,Dortmund,MF
Karim Adeyemi,22,Dortmund,MF
Niklas Süle,28,Dortmund,DF
Yan Couto,22,Dortmund,DF
Daniel Svensson,22,Dortmund,MF
Donyell Malen,25,Dortmund,MF
Salih Özcan,26,Dortmund,MF
Gio Reyna,21,Dortmund,MF
Julien Duranville,18,Dortmund,MF
Alexander Meyer,33,Dortmund,GK
Carney Chukwuemeka,20,Dortmund,MF
Almugera Kabar,18,Dortmund,DF
Yannik Lührs,20,Dortmund,DF
Ayman Azhil,23,Dortmund,MF
Cole Campbell,18,Dortmund,FW
Kjell-Arik Wätjen,18,Dortmund,MF
Rodney Elongo-Yombo,23,Dortmund,FW
Sébastien Haller,30,Dortmund,FW
Niklas Jessen,20,Dortmund,MF
David Lelle,21,Dortmund,DF
Marcel Lotka,23,Dortmund,GK
Filippo Mane,19,Dortmund,DF
Jordi Paulina,19,Dortmund,FW
Federico Valverde,26,Real Madrid,MF
Kylian Mbappé,25,Real Madrid,FW
Aurélien Tchouaméni,24,Real Madrid,DF
Thibaut Courtois,32,Real Madrid,GK
Jude Bellingham,21,Real Madrid,MF
Antonio Rüdiger,31,Real Madrid,DF
