player,position,country
Stefande Vrij,CB,nl NED
Strahinja Pavlovic,FW,hr CRO
Sven Ulreich,GK,de GER
Sávio,RW,br BRA
Takumi Minamino,AM,jp JPN
Takumu Kawamura,LM,jp JPN
Takuya Ogiwara,LB,jp JPN
Tammy Abraham,FW,eng ENG
Tammy Abrahamr,FW,eng ENG
Tanguy Zoukrou,CB,fr FRA
Taras Stepanenko,DM,ua UKR
Teun Koopmeiners,LM,nl NED
Theo Hernández,LB,fr FRA
Thibaut Courtois,GK,be BEL
Thijs Dallinga,FW,nl NED
Thilo Kehrer,CB,de GER
Thomas Beelen,CB,nl NED
Thomas Lemar,FW,fr FRA
Thomas Meunier,RB,be BEL
Thomas Müller,AM,de GER
Thomas Partey,CM,gh GHA
Tiago Santos,RB,pt POR
Tigran Barseghyan,RW,am ARM
Tijjani Reijnders,AM,nl NED
Timi Elšnik,LB,si SVN
Timon Wellenreuther,GK,de GER
Timothy Weah,RW,us USA
Tochi Chukwuani,DM,dk DEN
Tomi Horvat,RM,si SVN
Tommaso Corazza,RB,it ITA
Tommaso Pobega,LM,it ITA
Tomás Araújo,CB,pt POR
Tomáš Wiesner,LM,cz CZE
Trent Alexander-Arnold,RB,eng ENG
Trey Nyoni,LM,eng ENG
Tygo Land,CM,nl NED
Tyler Morton,RM,eng ENG
Tyrone Mings,CB,eng ENG
Uros Spajic,CB,rs SRB
Uroš Spajić,CB,rs SRB
