player,position,country
Jack Grealish,LW,eng ENG
Jacob Ramsey,LW,eng ENG
Jacobo Ramón,CB,es ESP
Jaden Philogene Bidace,RW,eng ENG
Jahmai Simpson-Pusey,CB,eng ENG
Jakub Kiwior,LB,pl POL
Jakub Pesek,RW,cz CZE
Jamal Musiala,AM,de GER
James Forrest,RW,sct SCO
James Mc Connell,CM,eng ENG
James Mcatee,FW,eng ENG
Jamie Gittens,RW,eng ENG
Jamie Leweling,RW,de GER
Jan Oblak,GK,si SVN
Jan-Niklas Beste,LW,de GER
Janis Blaswich,GK,de GER
Jaouen Hadjam,LB,dz ALG
Jarell Quansah,CB,eng ENG
Jaroslav Zelený,CB,cz CZE
Jarzinho Malanga,RW,de GER
Jastin García,RB,es ESP
Javi Galán,LB,es ESP
Javier Serrano,DM,es ESP
Jayden Danns,FW,eng ENG
Jeanuël Belocian,WB,fr FRA
Jens Odgaard,RW,dk DEN
Jerdy Schouten,CM,nl NED
Jeremie Frimpong,WB,nl NED
Jeremy Doku,RW,be BEL
Jerry St.Juste,CB,nl NED
Jeyland Mitchell,CB,cr CRC
Jhon Lucumí,CB,co COL
Jhon Solis,DM,co COL
Joaquin Seys,RB,be BEL
Joe Gomez,RB,eng ENG
Joel Drommel,GK,nl NED
Joel Monteiro,RW,ch SUI
Joel Ordóñez,CB,ec ECU
Joey Veerman,LM,nl NED
Johan Bakayoko,RW,be BEL
John Mc Ginn,RW,sct SCO
John Mellberg,LB,se SWE
John Stones,CB,eng ENG
Jonas Hofmann,AM,de GER
Jonas Martin,LM,fr FRA
Jonas Rouhi,LB,se SWE
Jonathan David,FW,ca CAN
Jonathan Tah,CB,de GER
Jordan Amavi,LB,fr FRA
Jordan Lotomba,RB,ch SUI
Jordan Teze,RB,nl NED
Jorginho,CM,it ITA
Josha Vagnoman,RB,de GER
Joshua Kimmich,DM,de GER
Josip Misic,CM,hr CRO
Josip Mišić,CM,hr CRO
Josip Stanišić,LB,hr CRO
José María Giménez,CB,uy URU
João Neves,CM,pt POR
João Palhinha,DM,pt POR
João Rêgo,RW,pt POR
João Simões,AM,pt POR
Joško Gvardiol,LB,hr CRO
Juan Cuadrado,AM,co COL
Juan Córdoba,LW,co COL
Juan David Cabal,LB,co COL
Juan Miranda,LB,es ESP
Juanpe,CB,es ESP
Jude Bellingham,LM,eng ENG
Jules Koundé,RB,fr FRA
Julian Brandt,AM,de GER
Julian Chabot,CB,de GER
Julian Ryerson,RB,no NOR
Julien Duranville,RW,be BEL
Julien Le Cardinal,CB,fr FRA
Julián Carranza,FW,ar ARG
Julián Álvarez,FW,ar ARG
Juraj Kucka,DM,sk SVK
Jurij Medvedev,LM,cz CZE
Jurriën Timber,LB,nl NED
Justin Bijlow,GK,nl NED
Jáder Durán,FW,co COL
Július Szöke,CM,sk SVK
Kaan Kairinen,CM,fi FIN
Kacper Urbanski,RM,pl POL
Kai Havertz,RM,de GER
Kamil Piatkowski,LB,ba BIH
Kamory Doumbia,RM,ml MLI
Karim Adeyemi,LW,de GER
Karim Konaté,FW,ci CIV
Kasper Schmeichel,GK,dk DEN
Kassoum Ouattara,LB,fr FRA
Kastriot Imeri,CM,ch SUI
Kenan Bajric,CB,si SVN
Kenan Yildiz,LW,tr TUR
Kenny Lala,RB,mg MAD
Kerem Akturkoglu,CB,pl POL
Kerem Aktürkoğlu,LW,tr TUR
Kevin,LM,br BRA
Kevin De Bruyne,CM,be BEL
Kevin Kampl,CM,si SVN
Kevin Wimmer,LB,at AUT
Khéphren Thuram,CM,fr FRA
Kieran Tierney,LB,sct SCO
Kim Min-jae,CB,kr KOR
Kim Minsu,CM,kr KOR
Kingsley Coman,LW,fr FRA
Kjell Scherpen,GK,nl NED
Koke,CM,es ESP
Konrad Laimer,RB,at AUT
Konstantin Schopp,CB,at AUT
Kostas Tsimikas,LB,gr GRE
Kristjan Asllani,CM,al ALB
Krystof Danek,RB,rs SRB
Kryštof Daněk,LW,cz CZE
Krépin Diatta,RB,sn SEN
Kyle Walker,RB,eng ENG
Kylian Mbappé,FW,fr FRA
